Plate,Frame,Confidence (%),Distance (m)
T4RR,30,80,10.50
LGE2,120,80,1.85
0I17,130,80,7.16
0ROSJEN,210,95,7.88
IXIR4J,290,90,6.56
WUDEM,410,85,6.56
AANE,420,80,8.29
DIVISIOM,1030,95,4.50
VWDEEU,1230,90,1.36
L81Z,1340,80,9.26
1812,1340,80,5.83
